timestamp_s,pitch_degrees,control_latency_microseconds
3.98,0.04705,2.15
3.99,-0.56112,3.81
4.0,-0.37222,2.15
4.01,0.16259,1.91
4.02,0.17705,1.91
4.03,0.35441,0.72
4.04,-0.08499,1.19
4.05,0.53677,1.19
4.06,0.09187,0.95
4.07,0.78864,0.95
4.08,-0.33956,2.15
4.09,0.56783,0.95
4.1,-0.14675,1.19
4.11,0.51009,0.95
4.12,-0.4645,0.95
4.13,-0.22259,0.95
4.14,0.03807,1.91
4.15,0.44363,2.15
4.16,0.30818,3.81
4.17,-0.34595,0.95
4.18,0.02748,1.19
4.19,0.38608,0.95
4.2,0.11754,1.19
4.21,-0.12939,0.95
4.22,0.05153,0.95
4.23,0.39597,2.15
4.24,-0.01977,0.95
4.25,-0.19075,2.15
4.26,-0.21133,0.95
4.27,0.15765,0.95
4.28,-0.29205,1.19
4.29,-0.06247,7.15
4.3,0.15206,4.77
4.31,0.42692,5.01
4.32,-0.23491,3.10
4.33,0.67581,2.62
4.34,0.38398,7.87
4.35,0.29421,8.82
4.36,-0.05933,9.06
4.37,-0.34364,9.06
4.38,-0.3204,8.11
4.39,-0.43637,10.25
4.4,0.37917,8.34
4.41,-0.10329,9.78
4.42,0.34971,11.92
4.43,-0.13159,3.10
4.44,0.49834,3.10
4.45,0.01156,2.62
4.46,0.10105,1.91
4.47,-0.31217,5.01
4.48,-0.1317,2.15
4.49,-0.76433,6.91
4.5,0.32311,5.96
4.51,-0.38667,6.91
4.52,-0.48325,5.01
4.53,0.30486,3.10
4.54,-0.48939,7.39
4.55,-0.33296,7.87
4.56,-0.12985,1.19
4.57,0.49625,2.86
4.58,-0.25696,2.15
4.59,-0.28148,1.67
4.6,0.51143,1.91
4.61,0.42896,2.15
4.62,0.03427,3.10
4.63,0.43709,2.15
4.64,-0.02608,2.15
4.65,-0.30414,0.95
4.66,-0.06428,0.95
4.67,-0.19421,0.95
4.68,0.39205,1.67
4.69,0.24742,2.15
4.7,-0.4216,2.15
4.71,-0.00927,1.91
4.72,-0.33726,0.95
4.73,-0.38392,0.95
4.74,0.07429,2.15
4.75,-0.17269,0.95
4.76,0.26054,0.95
4.77,0.08277,0.95
4.78,-0.70604,1.91
4.79,-0.80231,1.91
4.8,-0.79898,0.95
4.81,-0.54472,1.91
4.82,-0.42073,2.15
4.83,0.60373,4.77
4.84,0.35519,4.77
4.85,0.30839,3.81
4.86,0.31928,5.96
4.87,0.42469,3.10
4.88,0.18508,4.77
4.89,0.18307,2.86
4.9,-0.20013,1.91
4.91,-0.02589,3.10
4.92,-0.70755,1.91
4.93,-0.33544,1.91
4.94,-0.32404,1.91
4.95,0.4017,1.91
4.96,0.27733,1.91
4.97,-0.24367,1.67
4.98,0.29084,0.95
4.99,0.12251,0.95
5.0,-0.62855,0.95
5.01,0.38525,1.19
5.02,-0.61648,1.91
5.03,-0.39061,1.91
5.04,0.47657,1.67
5.05,-0.11746,0.95
5.06,-0.38948,0.95
5.07,0.03178,0.95
5.08,-0.51408,0.95
5.09,-0.20172,0.95
5.1,-0.15224,0.95
5.11,-0.25322,0.95
5.12,-0.24504,1.91
5.13,-0.2092,2.15
5.14,-0.18568,1.91
5.15,-0.03457,2.15
5.16,0.818,0.95
5.17,0.62295,2.15
5.18,0.30118,0.95
5.19,-0.18364,0.95
5.2,0.01764,1.19
5.21,-0.06443,2.15
5.22,0.44619,0.95
5.23,0.58688,0.95
5.24,0.47907,1.19
5.25,0.13693,1.19
5.26,0.25854,0.95
5.27,-0.06081,0.95
5.28,0.29692,0.95
5.29,0.39708,2.15
5.3,-0.31685,0.95
5.31,0.06535,0.72
5.32,0.12905,2.15
5.33,-0.5086,0.95
5.34,-0.55852,1.91
5.35,0.13149,0.72
5.36,-0.56846,0.95
5.37,-0.09103,1.19
5.38,-0.15162,0.95
5.39,0.34937,1.19
5.4,-0.05774,1.19
5.41,0.30452,1.19
5.42,-0.4661,0.95
5.43,0.2698,2.15
5.44,0.24941,2.86
5.45,0.20659,0.95
5.46,-0.65833,1.91
5.47,0.39955,2.15
5.48,-0.48425,0.95
5.49,-0.53482,0.95
5.5,-0.24755,0.95
5.51,0.23884,2.15
5.52,0.05409,0.95
5.53,-0.46102,2.15
5.54,-0.09278,1.91
5.55,0.44651,2.15
5.56,0.09075,0.72
5.57,-0.01198,1.19
5.58,-0.35714,1.19
5.59,-0.10869,1.91
5.6,-0.26737,0.72
5.61,0.56816,1.19
5.62,-0.38461,0.72
5.63,-0.47647,1.91
5.64,-0.1672,1.19
5.65,-0.15917,1.91
5.66,-0.10269,1.91
5.67,0.15578,0.95
5.68,0.07671,1.91
5.69,-0.14136,2.15
5.7,0.38594,1.67
5.71,0.34684,2.15
5.72,0.31072,1.91
5.73,-0.17608,3.10
5.74,0.13755,2.15
5.75,-0.16724,0.95
5.76,-0.18217,2.15
5.77,0.07133,0.95
5.78,-0.16437,0.95
5.79,0.88738,0.95
5.8,-0.07168,0.95
5.81,0.43515,1.91
5.82,-0.04384,2.15
5.83,-0.48336,0.95
5.84,-0.29656,0.95
5.85,-0.29086,2.15
5.86,0.33869,1.19
5.87,-0.59485,2.15
5.88,0.16147,1.91
5.89,-0.76727,0.95
5.9,-0.31603,2.15
5.91,0.10779,0.95
5.92,0.56185,0.95
5.93,0.5754,2.15
5.94,0.23996,0.95
5.95,0.60368,0.95
5.96,-0.05975,0.72
5.97,-0.15004,2.15
5.98,0.03484,0.95
5.99,0.01916,0.95
6.0,0.00402,1.19
6.01,0.55962,0.95
6.02,-0.0124,1.91
6.03,-0.56934,2.15
6.04,0.06876,4.77
6.05,-0.16756,1.91
6.06,0.3163,0.72
6.07,-0.38168,0.95
6.08,-0.30901,1.91
6.09,0.14116,0.95
6.1,0.2564,0.95
6.11,-0.4733,2.15
6.12,0.36084,0.95
6.13,-0.00146,1.91
6.14,-0.16739,0.95
6.15,0.05701,4.77
6.16,-0.12194,0.95
6.17,-0.59585,2.15
6.18,-0.35272,0.95
6.19,0.32452,0.95
6.2,0.25625,1.19
6.21,-0.41507,1.91
6.22,-0.21383,1.19
6.23,0.00125,1.67
6.24,-0.4581,6.91
6.25,0.32362,6.91
6.26,0.38998,4.05
6.27,0.13463,3.10
6.28,0.30891,2.15
6.29,0.25324,1.91
6.3,0.12567,2.86
6.31,0.18522,2.15
6.32,0.52914,1.67
6.33,-0.40606,1.91
6.34,0.47736,1.91
6.35,-0.17575,2.15
6.36,-0.00915,1.91
6.37,0.11571,2.15
6.38,-0.19708,1.19
6.39,-0.42504,1.67
6.4,-0.4047,0.72
6.41,-0.16249,0.95
6.42,-0.26272,0.95
6.43,0.07589,2.15
6.44,-0.05955,1.91
6.45,-0.21433,0.95
6.46,0.51468,0.95
6.47,-0.40408,0.95
6.48,-0.31722,0.95
6.49,0.15183,1.91
6.5,-0.37611,2.15
6.51,0.11122,2.15
6.52,-0.51535,0.95
6.53,0.50261,0.95
6.54,-0.2669,1.91
6.55,0.22549,1.19
6.56,0.13586,0.95
6.57,0.50217,1.91
6.58,0.06993,5.96
6.59,0.15182,1.91
6.6,-0.31215,2.15
6.61,0.61911,1.91
6.62,-0.14189,1.67
6.63,0.23945,0.95
6.64,-0.27049,0.95
6.65,0.34681,0.95
6.66,0.23838,5.72
6.67,-0.13682,1.91
6.68,0.20083,2.86
6.69,-0.56148,1.91
6.7,-0.22702,1.91
6.71,0.38061,1.91
6.72,-0.24645,2.15
6.73,0.19048,1.91
6.74,0.07849,6.20
6.75,-0.45037,0.95
6.76,-0.47398,1.91
6.77,-0.39569,0.95
6.78,-0.31301,0.95
6.79,0.48873,1.91
6.8,-0.12907,2.15
6.81,0.00843,2.15
6.82,0.09161,1.67
6.83,-0.09087,1.91
6.84,0.71613,1.19
6.85,-0.11823,0.95
6.86,0.12776,1.91
6.87,0.16432,0.95
6.88,0.35937,0.95
6.89,-0.48772,2.15
