timestamp_s,pitch_degrees,control_latency_microseconds
5.29,0.10027,6.20
5.3,-0.03078,5.25
5.31,1.43141,3.81
5.32,1.428,4.77
5.33,0.11629,5.72
5.34,1.94437,5.01
5.35,1.82303,5.96
5.36,0.92795,5.72
5.37,1.62692,5.25
5.38,-0.13251,11.92
5.39,0.22808,9.06
5.4,0.0647,10.01
5.41,1.80715,8.11
5.42,1.4573,10.01
5.43,1.75796,11.92
5.44,-0.06806,9.06
5.45,1.13817,6.91
5.46,-0.40244,5.96
5.47,1.20652,5.25
5.48,-2.16099,5.01
5.49,-3.36056,17.88
5.5,-1.58676,19.07
5.51,-0.09495,24.08
5.52,0.00648,22.17
5.53,1.16638,20.03
5.54,0.77184,6.20
5.55,1.4419,10.73
5.56,0.00197,11.92
5.57,1.33843,6.20
5.58,1.31015,8.82
5.59,0.63006,6.91
5.6,1.60389,8.11
5.61,2.47115,6.91
5.62,-0.30137,6.91
5.63,1.22549,10.25
5.64,0.59594,5.72
5.65,0.39646,5.96
5.66,1.2402,5.25
5.67,0.18265,5.01
5.68,0.07417,4.77
5.69,0.95582,4.77
5.7,0.66076,4.05
5.71,0.76563,10.01
5.72,0.98953,5.01
5.73,0.0814,4.77
5.74,2.04322,4.05
5.75,-0.46586,5.01
5.76,-1.23091,5.01
5.77,-1.9516,3.81
5.78,-2.96342,9.06
5.79,-0.75488,5.01
5.8,-1.32167,6.91
5.81,3.02229,4.77
5.82,4.91365,7.15
5.83,6.30219,5.96
5.84,7.9037,7.15
5.85,7.8145,5.96
5.86,6.49808,6.91
5.87,2.57074,12.16
5.88,1.5599,7.87
5.89,0.44194,5.25
5.9,1.90481,4.05
5.91,2.61357,5.96
5.92,-0.50549,6.20
5.93,-2.51969,7.87
5.94,-4.44397,5.25
5.95,-5.10394,6.20
5.96,-4.20932,4.77
5.97,-2.84306,5.96
5.98,1.54417,4.05
5.99,4.31821,4.05
6.0,5.224,5.96
6.01,3.60327,4.77
6.02,1.43541,5.72
6.03,-0.27876,5.01
6.04,-0.72462,6.91
6.05,1.10134,9.06
6.06,0.59318,7.87
6.07,-0.52835,9.06
6.08,0.90836,22.89
6.09,0.13287,9.06
6.1,-0.23138,10.97
6.11,0.44585,8.82
6.12,1.45602,13.11
6.13,-0.20559,10.01
6.14,0.33033,10.97
6.15,1.021,10.97
6.16,0.88457,12.16
6.17,0.72538,19.07
6.18,1.51884,27.89
6.19,0.14797,17.88
6.2,0.25434,25.75
6.21,-0.06386,23.13
6.22,1.86113,15.02
6.23,0.92079,8.82
6.24,0.24935,8.82
6.25,1.74533,30.99
6.26,1.35362,11.92
6.27,0.95778,7.87
6.28,1.66348,10.01
6.29,-0.08649,17.88
6.3,0.07037,15.02
6.31,0.1703,10.01
6.32,1.91151,8.82
6.33,-0.60429,13.11
6.34,0.2288,11.21
6.35,-0.93818,11.92
6.36,0.76354,10.97
6.37,-0.71263,16.93
6.38,1.06045,21.93
6.39,1.09079,10.01
6.4,1.36036,37.91
6.41,0.50817,12.16
6.42,0.95225,15.02
6.43,0.88907,12.16
6.44,1.02668,11.92
6.45,0.67431,11.92
6.46,2.54696,15.02
6.47,0.93918,12.16
6.48,2.45874,12.87
6.49,2.47756,10.97
6.5,0.42882,11.92
6.51,1.48861,12.16
6.52,-0.88415,11.21
6.53,0.9308,10.01
6.54,0.15603,23.13
6.55,1.80821,20.98
6.56,0.03227,23.13
6.57,0.70039,10.97
6.58,-0.01729,7.87
6.59,1.70908,11.92
6.6,0.10627,20.03
6.61,1.42432,10.01
6.62,0.08313,7.87
6.63,2.4088,10.97
6.64,1.4694,15.97
6.65,2.98671,13.83
6.66,2.79565,7.87
6.67,-0.437,12.87
6.68,1.13898,9.06
6.69,0.39233,10.01
6.7,1.96605,9.30
6.71,2.67268,8.11
6.72,1.2793,7.15
6.73,1.62344,13.83
6.74,-0.07766,13.11
6.75,0.64874,9.06
6.76,0.70122,5.96
6.77,1.3549,9.06
6.78,-0.20812,7.15
6.79,1.95759,5.96
6.8,1.8518,10.97
6.81,1.36919,6.20
6.82,1.20755,5.25
6.83,1.06366,5.72
6.84,2.12652,7.15
6.85,0.63105,5.01
6.86,2.08733,6.20
6.87,0.47071,4.77
6.88,0.91019,10.01
6.89,-0.52582,5.96
6.9,2.66322,6.91
6.91,3.41766,19.07
6.92,2.73616,33.86
6.93,1.70125,25.03
6.94,2.03141,14.07
6.95,-0.56573,15.74
6.96,1.92334,10.97
6.97,3.75417,10.97
6.98,4.62915,16.93
6.99,5.43018,6.20
7.0,6.36685,10.01
7.01,7.9861,5.25
7.02,4.1914,10.01
7.03,1.24485,7.87
7.04,0.62184,6.91
7.05,0.2947,5.01
7.06,1.59055,5.25
7.07,1.98947,4.77
7.08,1.08423,6.91
7.09,1.63188,5.01
7.1,1.44538,6.20
7.11,1.44534,6.20
7.12,0.44261,5.96
7.13,2.66911,5.25
7.14,2.61742,7.15
7.15,-0.57169,5.96
7.16,2.6205,5.01
7.17,4.26776,4.77
7.18,6.18873,5.25
7.19,7.5871,4.77
7.2,9.00697,3.81
7.21,10.54383,5.01
7.22,11.98663,5.01
7.23,11.73039,4.05
7.24,8.61424,5.72
7.25,4.97416,4.77
7.26,2.31389,4.05
7.27,-0.71004,5.01
7.28,-2.40801,4.77
7.29,-2.75544,4.77
7.3,-1.66788,4.77
7.31,0.24568,4.77
7.32,-0.13893,5.01
7.33,0.60912,4.05
7.34,1.69393,5.72
7.35,1.36269,4.05
