timestamp_s,pitch_degrees,control_latency_microseconds
4.31,3.98705,820.88
4.32,5.1336,808.95
4.33,5.38911,787.02
4.34,6.04051,807.05
4.35,5.91819,809.91
4.36,2.38348,832.08
4.37,0.9239,813.72
4.38,-0.47503,786.30
4.39,0.9344,794.89
4.4,-0.85222,854.97
4.41,2.09614,833.99
4.42,2.97286,802.04
4.43,2.71984,806.81
4.44,1.73445,797.03
4.45,2.40435,823.97
4.46,-0.51322,783.21
4.47,-1.39906,807.05
4.48,-0.18441,773.91
4.49,0.17015,820.88
4.5,1.23737,787.97
4.51,0.95797,792.74
4.52,1.50468,805.85
4.53,0.98951,774.86
4.54,1.17561,791.07
4.55,1.12852,818.25
4.56,0.89896,762.94
4.57,1.31583,833.03
4.58,0.9664,764.85
4.59,0.63695,780.11
4.6,1.97826,777.01
4.61,0.59244,787.02
4.62,1.84894,819.92
4.63,1.31566,787.97
4.64,0.31021,771.05
4.65,0.84699,763.89
4.66,1.05868,771.76
4.67,1.3272,808.95
4.68,0.71536,866.17
4.69,1.37987,794.89
4.7,0.36313,802.99
4.71,0.53482,782.73
4.72,1.53017,779.15
4.73,0.55074,844.00
4.74,1.97618,827.79
4.75,0.59111,793.93
4.76,-0.49318,772.24
4.77,0.1328,808.00
4.78,1.69523,808.00
4.79,2.10355,785.11
4.8,-1.13338,761.75
4.81,-2.14708,770.09
4.82,-2.99732,834.94
4.83,-1.0105,816.82
4.84,-0.33307,766.28
4.85,1.69527,797.99
4.86,0.03291,803.71
4.87,0.4745,786.07
4.88,0.58693,788.93
4.89,2.13093,821.11
4.9,2.42124,778.91
4.91,-0.96432,812.05
4.92,-1.33574,809.91
4.93,-2.49899,773.67
4.94,-2.11382,802.04
4.95,0.09194,803.95
4.96,1.44498,820.16
4.97,2.47131,785.11
4.98,1.46119,861.88
4.99,1.65127,795.13
5.0,1.74202,818.73
5.01,0.93083,817.78
5.02,-0.04513,792.03
5.03,1.37016,798.94
5.04,1.05753,778.91
5.05,1.25054,809.91
5.06,1.1928,802.99
5.07,0.25963,797.99
5.08,2.27653,801.09
5.09,2.63081,787.97
5.1,-0.49527,819.92
5.11,-1.22726,787.26
5.12,-1.68117,787.02
5.13,0.19852,770.09
5.14,-0.00303,792.26
5.15,0.3321,777.96
5.16,1.0375,754.83
5.17,1.99898,777.96
5.18,-0.12551,792.74
5.19,1.31695,788.93
5.2,0.25074,785.11
5.21,-0.07681,768.66
5.22,1.6242,773.67
5.23,-0.93305,809.19
5.24,-2.0556,809.91
5.25,-2.84711,773.19
5.26,-1.33415,790.12
5.27,0.08708,790.12
5.28,0.7215,779.15
5.29,1.82512,782.01
5.3,-0.25112,758.89
5.31,1.27087,766.28
5.32,-0.65784,753.16
5.33,1.08172,844.72
5.34,-0.39101,765.32
5.35,2.1466,797.99
5.36,2.60095,776.05
5.37,0.85363,752.69
5.38,0.48876,818.25
5.39,0.48917,758.89
5.4,1.7702,800.13
5.41,2.42237,777.96
5.42,1.26537,848.29
5.43,3.10652,836.85
5.44,2.85435,801.09
5.45,0.45155,785.83
5.46,-0.82112,1096.96
5.47,-1.24461,810.15
5.48,-0.0844,860.93
5.49,0.79739,808.24
5.5,-0.08125,900.98
5.51,2.40663,790.12
5.52,2.66371,793.22
5.53,0.00823,751.97
5.54,-1.28603,781.77
5.55,0.30815,783.68
5.56,-0.19846,797.03
5.57,0.57894,787.26
5.58,0.86565,802.76
5.59,2.15825,760.08
5.6,1.81101,812.77
