timestamp_seconds,trial_1_pitch_deg,trial_2_pitch_deg,trial_3_pitch_deg
3.17,-0.78949,-0.80961,0.17118
3.18,-0.16236,-0.52072,0.36167
3.19,0.28696,-0.3816,0.16998
3.2,-0.05451,-0.47891,-0.27664
3.21,0.23516,0.32311,-0.93238
3.22,-0.43737,0.32088,-0.44973
3.23,-0.115,0.35324,-0.39014
3.24,0.12143,0.08859,-0.89441
3.25,-0.11014,-0.26495,-0.29645
3.26,0.02812,0.42956,-0.27598
3.27,0.03964,-0.34561,0.20458
3.28,-0.56445,0.2295,0.79065
3.29,-0.55587,-0.15867,0.52444
3.3,-0.16626,-0.09067,0.0072
3.31,0.20916,-0.23407,-0.36294
3.32,-0.13781,-0.62547,0.37718
3.33,0.48815,0.36404,0.01985
3.34,0.32272,-0.23505,0.20138
3.35,-0.46456,0.44417,-0.63395
3.36,0.13665,0.14056,-0.92767
3.37,0.16639,-0.15067,-0.23237
3.38,0.30092,0.42327,-0.08789
3.39,0.30887,-0.03609,0.09359
3.4,0.41872,0.33387,0.15562
3.41,-0.41293,-0.31117,-0.79926
3.42,0.11618,-0.15264,0.03888
3.43,-0.52756,0.0687,-0.12871
3.44,-0.08062,0.32902,0.26946
3.45,-0.13786,0.02696,0.49935
3.46,0.04422,-0.47992,0.11248
3.47,-0.65936,-0.16278,-0.39254
3.48,-0.33355,-0.03815,-0.27581
3.49,-0.01808,-0.34923,0.38639
3.5,0.07402,-0.1728,0.41866
3.51,0.1625,0.44498,-0.01641
3.52,-0.36518,0.51396,-0.02564
3.53,-0.16279,-0.28054,0.72333
3.54,0.09055,0.06381,0.81207
3.55,0.05646,0.12501,0.77691
3.56,0.34263,-0.18139,0.18243
3.57,0.52881,-0.08917,-0.20321
3.58,-0.12498,-0.03143,-0.3302
3.59,-0.09474,0.26024,0.31859
3.6,-0.5143,-0.5833,-0.23567
3.61,0.06453,0.37469,-0.0497
3.62,0.92234,0.04925,0.08174
3.63,0.04549,0.75033,-0.28252
3.64,0.59355,0.50456,0.76153
3.65,0.31064,0.46039,0.62013
3.66,-0.25088,0.05136,0.17033
3.67,-0.3586,-0.2953,0.17938
3.68,0.61383,0.45914,0.65097
3.69,0.24427,-0.42511,0.7176
3.7,-0.06144,-0.56044,0.65949
3.71,-0.2377,0.56675,-0.04787
3.72,0.15295,0.40607,0.52328
3.73,-0.11978,0.31332,0.18317
3.74,-0.42445,-0.2144,-0.06382
3.75,-0.06816,-0.36227,-0.66679
3.76,0.22484,-0.11441,-0.04066
3.77,-0.5697,0.32969,-0.38274
3.78,-0.12205,0.09972,-0.44653
3.79,0.35116,0.4931,-0.76919
3.8,-0.35805,0.09233,-0.69466
3.81,-0.1725,-0.20352,-0.01902
3.82,0.23039,-0.08887,-0.54022
3.83,-0.03325,-0.39353,-0.22281
3.84,0.13114,0.29592,-0.10703
3.85,-0.25721,-0.38525,0.00518
3.86,-0.22054,-0.1133,-0.60585
3.87,0.04276,-0.29727,-0.49246
3.88,-0.01193,-0.60632,0.33864
3.89,0.11964,0.04793,0.38021
3.9,0.76556,0.00323,-0.30421
3.91,0.15625,-0.5472,0.39359
3.92,0.22109,-0.74834,-0.4671
3.93,0.07894,0.30827,0.09434
3.94,0.13618,0.0063,-0.47968
3.95,0.21353,-0.35959,-0.06682
3.96,-0.2779,-0.68417,-0.3322
3.97,0.2547,0.16502,0.42601
3.98,0.47519,-0.18898,0.32665
3.99,-0.11716,-0.01508,-0.19339
4.0,0.39679,0.37484,0.44727
4.01,0.33454,-0.60247,-0.22743
4.02,-0.0507,-0.03665,0.24864
4.03,-0.65651,0.02997,0.4714
4.04,-0.88425,-0.40902,-0.01664
4.05,-0.00814,0.38447,0.01027
4.06,-0.06237,-0.07908,-0.53133
4.07,-0.45836,-0.13405,-0.34844
4.08,0.41423,0.43108,0.78449
4.09,0.42234,0.4031,0.55286
4.1,0.05022,0.56877,-0.16172
4.11,-0.22169,-0.08133,0.34703
4.12,0.15226,0.05381,0.71644
4.13,0.04584,-0.24512,0.04113
4.14,-0.12139,0.29597,0.36134
4.15,0.06167,0.09449,0.13542
4.16,-0.03804,-0.07459,0.49219
4.17,-0.04556,0.03216,-0.4642
4.18,-0.0311,-0.38488,-0.95612
4.19,0.00839,0.32983,-0.46514
4.2,-0.12634,-0.32597,-0.41583
4.21,0.55063,0.24249,0.53187
4.22,-0.40727,-0.26123,0.806
4.23,0.31269,0.1424,0.08633
4.24,0.12879,-0.53308,0.40385
4.25,0.07938,-0.46026,-0.16332
4.26,0.08655,0.53063,-0.2994
4.27,0.18808,0.076,0.39596
4.28,0.07311,-0.1852,0.57233
4.29,-0.43752,-0.39073,0.37381
4.3,-0.59365,-0.13828,0.32605
4.31,0.01901,0.41281,-0.6297
4.32,-0.27474,0.42801,-0.01887
4.33,-0.01382,-0.16069,0.19112
4.34,0.22365,-0.02912,-0.18256
4.35,-0.02968,0.23633,0.19316
4.36,-0.50351,-0.16937,-0.05363
4.37,-0.56937,-0.04674,-0.89238
4.38,-0.55529,-0.27924,-0.17614
4.39,0.02196,-0.09605,0.16277
4.4,0.24442,-0.39453,-0.69993
4.41,0.06518,0.44761,-0.40616
4.42,-0.31045,-0.29701,-0.47389
4.43,-0.78451,0.05326,0.29982
4.44,-0.13513,0.10186,0.37643
4.45,0.25115,0.73803,0.32897
4.46,0.57596,0.56084,0.25376
4.47,0.02724,0.22758,-0.02282
4.48,0.11551,0.24278,-0.66604
4.49,-0.32992,0.52215,0.32626
4.5,-0.51966,-0.05361,0.47595
4.51,0.33753,-0.1499,-0.08615
4.52,-0.43326,0.26471,-0.06555
4.53,-0.38825,-0.07198,-0.39235
4.54,0.35264,0.60318,-0.8758
4.55,0.23268,0.14587,-0.63792
4.56,0.39494,-0.52265,0.20831
4.57,0.12056,0.1141,0.00861
4.58,-0.16647,-0.48543,-0.91186
4.59,0.06889,-0.04992,-0.68895
4.6,0.33669,-0.00105,-0.76477
4.61,-0.00789,0.13468,-0.16425
4.62,-0.06255,0.1568,-0.35115
4.63,0.1663,-0.19458,-0.54419
4.64,-0.20792,0.16966,0.21537
4.65,-0.09622,0.35276,-0.19947
4.66,0.08124,-0.15149,-0.12595
4.67,0.57704,0.43501,0.27196
4.68,0.58818,-0.35278,0.30453
4.69,-0.39759,0.14151,0.22078
4.7,-0.44791,-0.5982,0.74454
4.71,0.09492,-0.76479,1.21334
4.72,-0.12701,-0.38187,0.85496
4.73,0.76574,0.39372,-0.04103
4.74,0.16658,-0.26039,0.03426
4.75,0.49133,-0.39758,-0.03934
4.76,0.47582,0.34255,0.47279
4.77,0.25742,0.27059,0.58061
4.78,-0.05067,-0.37234,0.49048
4.79,-0.10421,-0.10026,0.71356
4.8,0.03124,-0.16505,0.11458
4.81,0.48887,0.16124,-0.18558
4.82,0.00876,0.22275,-0.12688
4.83,0.24861,0.08855,0.10954
4.84,0.12168,0.83722,0.78294
4.85,0.19956,0.71761,0.40179
4.86,-0.14192,0.50984,0.34347
4.87,-0.4658,0.18034,0.8179
4.88,0.3872,-0.43155,-0.28575
4.89,0.331,-0.07058,-0.18509
4.9,0.60645,-0.62379,0.01129
4.91,-0.08442,-0.09657,0.05728
4.92,0.39929,-0.60978,-0.09658
4.93,-0.2964,-0.04718,0.40712
4.94,0.22181,-0.41942,0.63963
4.95,-0.3748,0.19269,0.69597
4.96,-0.34642,0.06972,-0.24818
4.97,-0.32069,-0.19358,-0.09273
4.98,-0.13126,-0.42336,-0.54162
4.99,0.24887,-0.58895,-0.64776
5.0,0.0148,-0.20549,0.22912
5.01,0.01471,0.08386,-0.06582
5.02,-0.29723,0.47875,-0.138
5.03,-0.08699,0.12315,-0.51973
5.04,0.08478,-0.66454,-0.79758
5.05,0.41058,-0.28864,-0.63424
5.06,0.21742,-0.20091,0.05918
5.07,0.43127,0.55239,0.12093
5.08,-0.32398,0.43439,-0.55575
5.09,0.09912,-0.45525,0.1439
5.1,0.34139,-0.04672,-0.50295
5.11,-0.43788,0.14321,-0.0859
5.12,-0.22855,0.23464,-0.041
5.13,-0.05657,0.33096,-0.01655
5.14,-0.42101,-0.42685,-0.73771
5.15,0.26309,0.30636,-0.64979
5.16,0.18835,-0.14406,-0.18237
5.17,0.00535,0.55375,-0.09201
5.18,-0.10634,0.57592,0.30741
5.19,0.56168,-0.39629,0.17708
5.2,0.18703,0.14654,0.14179
5.21,0.21027,-0.24781,0.21653
5.22,0.00862,0.05849,0.26271
5.23,-0.27103,0.00622,-0.64301
5.24,-0.44781,0.31722,-0.34502
5.25,-0.44686,-0.33939,-0.37233
5.26,-0.58911,-0.08942,0.14454
5.27,-0.1123,0.02709,0.42594
5.28,-0.37896,0.22981,-0.45624
5.29,0.33874,0.23924,0.19462
5.3,0.29209,-0.34235,-0.25566
5.31,-0.17711,-0.28514,0.06538
5.32,-0.02381,0.35438,-0.20174
5.33,0.13829,-0.21704,0.09783
5.34,-0.88291,-0.0082,0.48264
5.35,-0.192,-0.26436,0.5332
5.36,-0.7469,0.12297,-0.12479
5.37,-0.07553,0.13618,-0.13219
5.38,-0.57528,0.00437,0.27125
5.39,0.49899,0.48176,-0.49765
5.4,0.5476,0.05208,-0.55125
5.41,-0.42395,-0.17203,0.29563
5.42,0.31713,0.4814,0.25385
5.43,-0.43672,-0.11225,-0.26116
5.44,-0.12722,0.03336,-0.03913
5.45,0.19752,0.37999,-0.65357
5.46,-0.17788,-0.33771,-0.01841
5.47,-0.06124,-0.22291,-0.52859
5.48,-0.20068,-0.16738,0.22235
5.49,0.37834,-0.11552,0.26081
5.5,-0.18692,-0.47856,0.35681
5.51,-0.66672,0.22125,0.2493
5.52,0.10193,-0.04359,0.11857
5.53,0.37461,-0.27138,0.4038
5.54,-0.06598,-0.56057,-0.47738
5.55,0.2856,0.02096,-0.55994
5.56,0.77344,0.55583,-0.00727
5.57,0.47368,0.169,0.63167
5.58,0.14762,-0.29861,0.2845
5.59,0.1688,0.22427,-0.08231
5.6,0.14708,0.55239,0.23795
5.61,0.55798,-0.12632,0.28778
5.62,0.09689,-0.63139,0.1639
5.63,-0.33878,0.22478,0.60665
5.64,0.43434,0.18685,0.65942
5.65,0.23377,0.21135,-0.04653
5.66,0.03414,0.15557,-0.12922
5.67,-0.09333,0.31982,0.33256
5.68,0.33682,-0.45969,0.8329
5.69,-0.10037,0.36052,0.37525
5.7,-0.35907,-0.1802,-0.47149
5.71,0.44781,-0.10511,0.09834
5.72,-0.3578,0.19397,0.26697
5.73,0.17361,-0.04215,-0.17317
5.74,-0.18137,-0.20312,0.24152
5.75,-0.4243,0.32838,-0.57838
5.76,0.3369,0.26724,0.23949
5.77,0.27435,-0.33313,-0.35934
5.78,-0.3658,0.55916,-0.26205
5.79,-0.64373,-0.01399,-0.18058
5.8,0.17208,0.138,-0.18436
5.81,-0.23195,0.21335,0.22094
5.82,0.5109,-0.03503,0.28315
5.83,0.2625,0.07931,-0.35384
5.84,-0.06575,0.74423,-0.29257
5.85,-0.62352,0.68292,-0.2262
5.86,-0.20421,0.02787,-0.569
5.87,-0.15127,-0.40049,0.04562
5.88,-0.31803,-0.08226,0.15562
5.89,-0.58572,0.17285,-0.05314
5.9,-0.41369,-0.41139,0.28318
5.91,-0.38094,-0.06465,-0.19424
5.92,0.14763,0.28149,-0.4393
5.93,0.29126,0.62903,-0.51861
5.94,-0.55382,0.1299,-0.10481
5.95,-0.77563,0.39117,0.33507
5.96,-0.47289,0.14956,0.24504
5.97,0.06384,-0.75566,-0.17467
5.98,0.34774,-0.43179,-0.15423
5.99,0.09999,-0.73847,0.4811
6.0,-0.11479,-0.35039,0.27063
6.01,-0.36737,0.09334,0.10242
6.02,-0.53437,-0.15716,0.13859
6.03,-0.04783,0.4132,0.58801
6.04,0.22235,0.36412,-0.13495
6.05,-0.01236,0.11148,-0.05366
6.06,-0.14514,0.11972,0.12318
6.07,-0.15866,0.116,-0.50875
6.08,0.23592,-0.26695,0.09704
6.09,0.04706,-0.84943,0.02809
6.1,0.55003,0.05431,-0.06411
6.11,0.30021,0.38638,-0.59225
6.12,-0.14681,-0.02033,0.2379
6.13,0.27011,0.23703,0.10594
6.14,0.41504,0.23154,-0.37111
6.15,0.37064,-0.11252,0.01603
6.16,0.22806,-0.6637,-0.21059
6.17,-0.10647,-0.48612,0.35347
6.18,0.42448,-0.29705,0.42175
6.19,0.00826,0.02942,0.24094
6.2,0.28375,-0.67896,-0.24641
6.21,0.2143,-0.43129,-0.76357
6.22,-0.44458,-0.34018,-0.05564
6.23,-0.23928,-0.15885,0.04521
6.24,-0.07325,0.0982,-0.18142
6.25,-0.07573,0.00188,0.04117
6.26,-0.1596,-0.13108,-0.57325
