timestamp_s,pitch_degrees_t1,control_latency_microseconds_t1,pitch_degrees_t2,control_latency_microseconds_t2,pitch_degrees_t3,control_latency_microseconds_t3
1.58,-0.18521,1.91,-0.28191,0.95,0.33217,8.34
1.59,-0.13161,1.91,-0.05331,1.19,0.25253,1.91
1.6,0.30574,2.15,-0.06661,1.91,0.64695,1.19
1.61,0.41835,2.15,-0.31056,0.95,0.02707,7.15
1.62,-0.26473,2.15,0.08592,0.95,-0.11224,2.15
1.63,-0.22996,2.15,-0.31244,1.19,0.47255,2.15
1.64,0.25595,1.19,0.3607,2.15,0.06648,2.15
1.65,0.1732,1.91,0.0275,1.19,-0.25279,1.91
1.66,-0.11332,0.95,-0.23413,1.91,-0.19924,0.95
1.67,0.04175,2.15,-0.54147,1.19,-0.02226,1.91
1.68,0.03751,0.95,-0.31541,1.91,0.05542,1.91
1.69,0.53231,2.15,-0.0748,0.95,0.08548,0.95
1.7,-0.30494,1.67,-0.05396,1.91,0.25823,2.15
1.71,0.21057,0.95,0.33169,1.19,0.01117,0.95
1.72,0.42746,0.95,-0.13869,0.95,0.20665,1.91
1.73,0.02876,0.95,0.61291,2.15,-0.26047,0.95
1.74,-0.12717,0.95,-0.05635,0.95,-0.34545,1.19
1.75,0.10872,1.67,0.08937,3.81,-0.31641,0.95
1.76,-0.22771,1.91,0.51896,4.29,-0.9755,1.67
1.77,0.00919,1.19,0.09935,3.1,-0.53636,2.15
1.78,0.28314,0.72,-0.37787,2.86,0.12603,1.91
1.79,0.15057,0.95,0.13703,1.91,0.04252,0.95
1.8,0.06105,0.95,-0.05105,0.95,-0.5252,1.91
1.81,-0.15556,2.15,0.206,0.95,-0.3385,1.91
1.82,-0.06079,1.67,0.85433,2.15,0.04706,1.19
1.83,0.03623,1.19,0.70474,2.15,0.30558,1.91
1.84,-0.17059,0.95,0.1912,0.95,0.09843,1.91
1.85,-0.12827,2.15,0.32913,2.15,0.46937,2.15
1.86,-0.51649,1.91,-0.74858,2.15,-0.05363,2.15
1.87,-0.34339,8.11,0.25146,2.15,-0.18869,0.95
1.88,0.33639,6.2,0.29672,2.15,-0.21629,0.95
1.89,-0.19315,4.77,-0.36033,0.95,0.57137,0.95
1.9,0.20546,1.91,0.10212,0.95,0.61484,0.72
1.91,-0.25268,1.91,0.0212,1.19,-0.15366,0.95
1.92,-0.00684,1.67,-0.03832,2.15,0.27309,0.95
1.93,-0.04503,4.05,-0.13282,2.15,-0.6622,0.95
1.94,0.12813,2.15,-0.41655,2.15,-0.16042,2.15
1.95,-0.20512,0.72,0.29431,0.95,-0.49536,0.95
1.96,0.1718,3.1,0.14072,2.15,0.01513,1.91
1.97,0.0544,2.86,-0.22986,1.19,0.44871,1.19
1.98,-0.22874,2.15,-0.23146,0.95,0.25178,0.95
1.99,0.13162,1.19,-0.53696,1.19,-0.29289,0.95
2.0,0.23163,1.19,0.1312,2.15,-0.45681,0.95
2.01,0.3177,1.91,-0.42624,2.15,0.37209,2.15
2.02,-0.03716,0.95,-0.58165,0.95,-0.05571,1.19
2.03,-0.15793,1.91,-0.15391,0.95,-0.03235,1.19
2.04,0.12189,2.15,0.23554,2.15,0.44284,0.95
2.05,-0.0134,1.91,0.10378,0.95,0.01897,2.15
2.06,-0.72392,1.91,-0.2888,0.95,0.36199,0.95
