timestamp_s,pitch_degrees_t1,control_latency_microseconds_t1,pitch_degrees_t2,control_latency_microseconds_t2,pitch_degrees_t3,control_latency_microseconds_t3
1.92,-0.32709,6.91,-1.44141,6.91,1.31096,5.01
1.93,0.67563,5.96,-1.61567,5.25,-0.89446,5.72
1.94,0.92688,5.96,-1.07852,7.15,0.04346,5.25
1.95,-1.25028,5.96,1.05087,5.01,-1.08204,4.77
1.96,-1.05491,5.96,-1.30403,4.77,0.43285,4.29
1.97,-0.1307,7.15,-2.5248,5.25,-0.95506,5.25
1.98,-1.02114,5.96,-2.69735,5.96,-1.15032,17.17
1.99,0.55271,6.2,-3.3828,6.91,-0.28995,30.04
2.0,-0.64516,5.01,0.13297,5.96,-0.74267,16.93
2.01,-0.2593,6.2,1.11992,5.01,1.92239,14.78
2.02,-0.7711,5.72,0.63048,5.01,1.90697,10.97
2.03,0.53328,5.25,0.39302,6.2,1.5344,9.06
2.04,-0.12575,5.96,0.35379,5.96,-0.01822,7.87
2.05,0.12249,5.96,-0.30896,5.25,0.97517,10.97
2.06,-1.63982,5.25,0.83348,3.81,1.72334,8.11
2.07,-0.03279,5.01,0.03546,3.81,-1.1781,25.75
2.08,-1.05641,5.01,-0.58538,5.72,-1.11875,13.11
2.09,-0.38498,5.01,-1.01373,8.11,-1.37564,7.87
2.1,-1.58769,4.77,1.05915,5.01,-1.13644,5.96
2.11,1.3417,6.2,0.64359,14.07,1.24928,7.87
2.12,2.42684,6.2,-0.61976,6.2,-0.6627,8.11
2.13,2.83426,4.77,0.95531,5.25,-1.62422,6.91
2.14,0.11079,5.72,-0.08382,5.96,-1.57214,5.01
2.15,0.19643,4.77,1.31811,5.01,-2.08341,6.91
2.16,-0.09996,5.72,-1.4128,5.25,-0.31968,5.25
2.17,-0.64463,5.96,-1.2544,6.2,0.41621,4.77
2.18,1.76146,4.05,-2.07986,5.01,-1.57889,5.96
2.19,-1.99374,5.01,-1.7616,5.25,1.69276,8.11
2.2,-3.25581,5.25,0.36689,6.2,3.27822,4.77
2.21,-5.71954,5.01,1.52875,4.77,4.17298,5.01
2.22,-7.15386,4.77,-0.85042,5.72,5.19977,5.96
2.23,-7.57451,5.96,-2.74224,6.91,5.54429,5.96
2.24,-7.84606,5.72,-2.03662,5.25,2.13293,4.05
2.25,-5.6342,5.01,-2.74815,5.01,0.85727,4.77
2.26,-0.47814,6.2,1.54763,5.96,1.08305,4.05
2.27,3.20083,6.2,4.71324,5.01,-0.86661,6.2
2.28,7.61022,7.15,7.51029,4.77,-0.46235,5.25
2.29,11.14046,5.01,10.40158,4.77,0.69203,6.91
2.3,14.45747,6.2,13.01853,4.77,-1.30183,3.81
