timestamp_s,pitch_degrees_t1,control_latency_microseconds_t1,pitch_degrees_t2,control_latency_microseconds_t2,pitch_degrees_t3,control_latency_microseconds_t3
2.81,1.22004,1068.12,1.13649,607.97,0.81306,616.07
2.82,0.52335,1417.4,-0.82378,621.8,-1.12102,625.85
2.83,0.34313,1128.2,0.23825,598.91,-1.20884,621.08
2.84,-0.22021,1254.08,0.54758,629.19,-1.98942,630.14
2.85,0.32697,1139.16,-0.4881,632.76,0.88476,621.08
2.86,-0.87646,1050.95,0.62455,595.09,1.8007,640.87
2.87,0.19959,880.24,0.6011,608.92,0.94813,624.9
2.88,0.56541,990.87,-0.67826,622.27,1.26642,631.81
2.89,-0.61428,1029.25,1.6384,586.03,-1.40627,617.98
2.9,0.60419,900.75,2.01161,610.11,-0.91481,604.87
2.91,-0.66671,932.22,1.03627,633.96,-0.31222,666.14
2.92,0.6259,816.11,0.78059,617.03,-1.04224,627.04
2.93,-0.77887,1080.04,0.79318,597.72,-0.62456,633.96
2.94,0.47254,1126.77,-0.4134,590.09,0.04886,611.78
2.95,-0.84764,874.04,0.68622,609.87,-1.41694,616.07
2.96,1.27657,817.78,1.06793,600.1,-0.56085,634.91
2.97,0.49834,689.27,-0.34106,618.93,-0.55048,614.17
2.98,0.58384,678.06,1.82167,608.92,0.59791,620.13
2.99,0.85605,669.96,0.69607,611.07,-1.38484,615.84
3.0,-1.30015,656.13,1.16643,612.97,-3.22824,628.95
3.01,0.44121,621.08,0.81136,632.05,-1.29627,607.01
3.02,0.54002,654.94,-0.22129,581.98,-1.86031,613.93
3.03,0.81727,624.18,1.97988,614.17,0.39562,622.75
3.04,-0.33736,660.9,0.37916,623.23,0.67581,638.01
3.05,0.83059,619.89,-0.39291,622.99,1.01653,611.78
3.06,-1.66992,649.93,-1.50295,618.93,-0.8553,628.23
3.07,-1.19398,607.97,-1.16097,613.93,-0.55761,624.18
3.08,-0.90354,618.93,0.62765,621.08,-0.43118,611.07
3.09,-0.18042,618.93,-0.1962,598.19,-0.08677,615.84
3.1,-0.99505,597.0,-0.32803,635.15,-1.18855,660.9
3.11,1.15414,612.74,0.85835,859.98,-0.44461,622.03
3.12,1.52954,609.16,0.49785,730.99,-0.44781,622.27
3.13,1.8125,717.88,0.97129,671.15,0.05258,612.97
3.14,-0.85388,656.13,-0.2577,635.86,-1.65533,611.07
3.15,-0.86806,703.1,0.62943,626.33,-0.25505,644.92
3.16,-0.29037,789.88,1.03475,617.98,0.25248,710.25
3.17,-0.90574,728.13,-0.66215,627.04,0.76362,640.87
3.18,0.48635,639.92,1.39194,650.88,-1.15619,634.19
3.19,0.78567,646.11,0.8256,596.05,-0.97533,621.8
3.2,0.34665,613.93,0.83889,632.05,0.38029,612.02
3.21,-0.89571,637.29,-0.78071,650.88,-0.5147,615.12
3.22,1.57112,642.06,0.88073,634.91,-0.15111,605.34
3.23,2.22209,609.87,1.74485,596.05,-1.07824,626.09
3.24,2.22166,606.78,2.80255,602.96,0.01281,607.01
3.25,-0.27887,596.05,-1.3786,593.19,0.82888,614.88
3.26,0.36841,650.17,-3.37812,634.19,-1.02608,614.88
3.27,-0.31539,609.16,-4.50275,604.15,0.20628,605.82
3.28,1.00352,607.97,-2.50098,639.2,1.09242,616.31
3.29,-2.10057,603.2,-1.23111,609.16,-0.74896,590.8
3.3,-2.06325,612.26,-0.33,587.94,-1.13124,597.0
3.31,-3.1162,627.99,-0.31737,641.11,-0.02394,609.16
3.32,-0.46814,613.93,0.5375,611.07,1e-05,608.92
3.33,1.25068,608.92,0.10702,607.97,-0.29148,628.95
3.34,0.71495,664.0,-0.62022,616.79,0.02508,638.01
3.35,0.18911,620.6,2.12421,618.93,-0.36973,618.93
3.36,-0.15817,653.74,1.17247,615.84,-0.55087,629.9
3.37,0.39478,615.84,1.87469,632.05,-0.01842,614.17
3.38,-1.32692,617.98,-0.5811,614.88,-1.2888,616.79
3.39,-1.00155,624.9,-0.90312,616.79,-0.23129,631.09
3.4,-0.53639,607.97,0.36768,602.72,0.39446,620.13
3.41,-0.1611,599.86,0.07515,631.09,-1.09552,612.97
3.42,-0.43448,610.11,1.09683,610.11,-0.40024,624.18
3.43,-0.81677,641.82,-0.50327,589.85,-1.42339,601.77
3.44,0.71958,601.29,-0.48735,609.16,-0.04391,597.95
3.45,0.14824,606.78,1.82046,764.85,1.71604,629.9
3.46,0.31163,603.91,-0.83574,1063.82,1.37093,607.01
3.47,-1.21682,633.0,-0.12934,818.73,0.72038,732.9
3.48,-0.02781,612.74,-1.42562,725.98,-1.157,698.09
3.49,-2.41493,659.94,-0.20884,669.96,0.21045,849.25
3.5,-1.52143,658.99,-0.44615,648.98,1.17302,1020.91
3.51,-0.522,606.06,0.21068,662.09,-0.87189,931.26
3.52,-1.92295,833.99,-0.38706,654.94,-0.93652,769.14
3.53,0.17227,821.11,0.4215,654.94,-0.61595,746.97
3.54,-0.57258,692.84,-0.02871,658.04,-0.93161,650.88
3.55,0.02539,679.97,0.49994,756.98,0.732,632.76
3.56,0.25668,659.23,0.29461,841.86,-1.96861,648.02
3.57,-0.94365,627.28,0.37595,911.71,-3.82169,632.05
3.58,0.3579,608.92,-0.32672,748.87,-4.4733,633.0
3.59,0.06669,627.99,0.88166,913.86,-4.89435,654.94
3.6,-0.29837,634.91,0.81826,883.34,-1.24436,643.97
3.61,0.13569,607.97,-0.3526,765.09,0.05312,613.69
3.62,-0.86808,627.99,1.18364,724.08,2.31284,681.16
3.63,-0.7244,611.07,1.6323,684.02,0.44733,634.67
3.64,-0.58073,602.25,0.35437,645.88,0.49854,618.93
3.65,-0.23098,601.05,1.5485,612.97,-0.10641,622.99
3.66,-0.995,674.96,-0.03667,622.75,0.02918,645.88
3.67,0.52558,630.14,-0.92159,617.98,-1.30364,618.93
3.68,0.93282,607.01,-1.00951,1150.37,-0.76924,609.16
3.69,-0.68373,635.15,0.97301,756.98,-0.17605,620.84
3.7,0.85282,655.17,0.75576,684.98,-1.27777,616.07
3.71,-1.15817,617.98,0.63114,686.17,-0.66318,621.08
3.72,0.62367,630.86,0.18625,627.99,-0.50754,612.26
